ax,ay,az,atotal,soco
0.01,-0.17,0.65,0.67,0
0.18,-0.5,0.47,0.7,0
0.17,-0.62,0.3,0.7,0
-0.15,-0.08,-0.68,0.7,0
-0.35,0.61,0.19,0.72,0
0.22,-0.57,0.4,0.73,0
0.08,0.28,-0.67,0.73,0
-0.3,0.61,0.29,0.73,0
0.29,0.66,0.2,0.74,0
0.22,-0.69,-0.16,0.74,0
-0.48,0.36,-0.47,0.76,0
-0.43,0.57,-0.28,0.76,0
0.36,-0.53,0.44,0.77,0
0.05,0.61,0.48,0.77,0
-0.29,0.57,0.44,0.77,0
-0.53,0.47,-0.33,0.78,0
-0.27,0.53,0.51,0.78,0
0.4,-0.41,0.55,0.79,0
0.37,-0.15,0.69,0.79,0
-0.51,0.06,0.62,0.8,0
-0.4,0.72,0.08,0.82,0
-0.45,0.52,-0.47,0.83,0
-0.62,0.5,0.3,0.85,0
-0.46,0.53,-0.48,0.85,0
-0.7,-0.04,0.55,0.89,0
-0.33,0.52,0.65,0.89,0
-0.05,0.46,-0.79,0.91,0
-0.75,-0.29,0.47,0.93,0
0.15,-0.02,-0.93,0.94,0
-0.87,0.33,0.17,0.94,0
0.35,0.63,0.66,0.97,0
-0.49,-0.83,-0.18,0.98,0
0.37,0.86,0.33,0.99,0
-0.92,-0.28,-0.24,0.99,0
0.41,-0.57,0.72,1.0,0
-0.37,-0.72,-0.6,1.0,0
-0.56,0.8,0.65,1.17,0
0.46,1.0,0.46,1.19,0
0.41,1.1,-0.32,1.21,0
-0.78,0.82,-0.48,1.22,0
-0.47,0.87,0.72,1.22,0
0.69,-0.84,0.63,1.25,0
0.11,1.21,-0.32,1.25,0
-0.46,0.62,0.99,1.25,0
0.29,1.15,-0.5,1.28,0
-0.09,1.28,-0.17,1.29,0
0.15,1.26,0.36,1.31,0
0.5,1.19,-0.28,1.32,0
0.49,1.1,-0.56,1.32,0
-0.45,1.12,0.54,1.32,0
0.37,1.16,-0.54,1.33,0
-0.33,0.63,1.15,1.35,0
0.0,-0.18,-1.36,1.37,0
-0.69,0.5,-1.08,1.37,0
0.7,01.05,-0.58,1.38,0
-1.1,-0.45,-0.71,1.38,0
-0.36,1.28,-0.38,1.38,0
-0.26,1.36,0.06,1.38,0
-0.34,-1.1,-0.78,1.39,0
-0.55,0.69,1.1,1.41,0
0.46,1.25,-0.5,1.42,0
-0.35,1.27,-0.54,1.42,0
-0.29,0.61,1.25,1.42,0
0.46,1.34,-0.23,1.43,0
-0.43,1.29,0.47,1.43,0
-0.27,1.29,0.6,1.44,0
-0.23,-0.33,-1.39,1.44,0
0.4,1.13,-0.82,1.45,0
-0.51,0.8,1.1,1.45,0
-0.32,1.39,0.29,1.45,0
-0.37,1.36,0.39,1.46,0
0.57,1.19,0.67,1.47,0
-0.25,1.23,0.79,1.48,0
0.49,1.36,-0.39,1.49,0
-0.39,1.4,-0.44,1.51,0
-0.33,0.71,1.3,1.51,0
-0.18,0.53,1.44,1.54,0
0.15,1.52,0.32,1.56,0
-0.23,1.61,-0.04,1.62,0
-0.35,0.71,1.44,1.64,0
-0.24,0.66,1.49,1.64,0
-1.1,0.85,-0.91,1.66,0
-0.3,1.48,0.69,1.66,0
0.83,1.34,-0.57,1.67,0
-0.21,1.51,0.73,1.69,0
-0.68,1.57,0.11,1.71,0
-0.45,1.56,-0.56,1.71,0
-0.49,-1.41,-0.87,1.72,0
0.3,1.72,-0.17,1.75,0
0.97,1.46,-0.32,1.78,0
-1.66,-0.55,0.42,1.79,0
0.01,1.62,0.82,1.81,0
-1.67,0.39,-0.59,1.81,0
